Deletions-1610_A01_s10.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s11.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s12.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s13.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s14.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s15.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s16.TIF	0	91	181	271	361	450	541	631	
Deletions-1610_A01_s17.TIF	0	91	181	271	361	451	541	631	
Deletions-1610_A01_s18.TIF	0	91	181	271	361	451	541	631	
Deletions-1610_A01_s19.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s1.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s20.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s21.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s22.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s23.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s24.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s25.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s26.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s2.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s3.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s4.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s5.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s6.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s7.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s8.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A01_s9.TIF	0	90	180	270	360	450	540	630	
Deletions-1610_A02_s10.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s11.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s12.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s13.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s14.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s15.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s16.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s17.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s18.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s19.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s1.TIF	0	93	183	272	362	452	542	632	
Deletions-1610_A02_s20.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s21.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s22.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s23.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s24.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A02_s25.TIF	0	93	184	273	363	453	543	633	
Deletions-1610_A02_s26.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_A02_s2.TIF	0	93	183	272	362	452	542	632	
Deletions-1610_A02_s3.TIF	0	93	183	272	362	452	542	632	
Deletions-1610_A02_s4.TIF	0	93	183	272	362	452	542	633	
Deletions-1610_A02_s5.TIF	0	93	183	272	362	452	543	633	
Deletions-1610_A02_s6.TIF	0	93	183	272	362	453	543	633	
Deletions-1610_A02_s7.TIF	0	93	183	273	362	453	543	633	
Deletions-1610_A02_s8.TIF	0	93	183	273	362	453	543	633	
Deletions-1610_A02_s9.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s10.TIF	0	94	184	273	363	454	544	634	
Deletions-1610_A03_s11.TIF	0	93	183	273	362	453	543	633	
Deletions-1610_A03_s12.TIF	0	93	183	273	362	453	543	633	
Deletions-1610_A03_s13.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s14.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s15.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s16.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s17.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s18.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s19.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s1.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_A03_s20.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s21.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s22.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s23.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s24.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s25.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s26.TIF	0	93	183	273	363	453	543	633	
Deletions-1610_A03_s2.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_A03_s3.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_A03_s4.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_A03_s5.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_A03_s6.TIF	0	94	184	273	363	453	543	633	
Deletions-1610_A03_s7.TIF	0	94	184	273	363	453	543	634	
Deletions-1610_A03_s8.TIF	0	94	184	273	363	453	543	634	
Deletions-1610_A03_s9.TIF	0	94	184	273	363	454	544	634	
Deletions-1610_A04_s10.TIF	0	97	187	276	365	456	546	636	
Deletions-1610_A04_s11.TIF	0	97	187	276	365	456	546	636	
Deletions-1610_A04_s12.TIF	0	97	187	276	366	456	546	636	
Deletions-1610_A04_s13.TIF	0	97	187	276	366	456	546	636	
Deletions-1610_A04_s14.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s15.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s16.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s17.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s18.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s19.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s1.TIF	0	96	186	276	365	456	546	636	
Deletions-1610_A04_s20.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s21.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s22.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s23.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A04_s24.TIF	0	96	186	275	365	455	545	636	
Deletions-1610_A04_s25.TIF	0	96	186	275	365	455	545	636	
Deletions-1610_A04_s26.TIF	0	96	186	275	365	455	545	636	
Deletions-1610_A04_s2.TIF	0	96	186	276	365	456	546	636	
Deletions-1610_A04_s3.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A04_s4.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A04_s5.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A04_s6.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A04_s7.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A04_s8.TIF	0	97	187	276	365	456	546	636	
Deletions-1610_A04_s9.TIF	0	97	187	276	365	456	546	636	
Deletions-1610_A05_s10.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A05_s11.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A05_s12.TIF	0	97	187	276	365	456	546	636	
Deletions-1610_A05_s13.TIF	0	97	187	276	365	456	546	636	
Deletions-1610_A05_s14.TIF	0	97	187	276	365	456	546	636	
Deletions-1610_A05_s15.TIF	0	97	187	276	365	456	546	636	
Deletions-1610_A05_s16.TIF	0	97	187	276	366	456	546	636	
Deletions-1610_A05_s17.TIF	0	97	187	276	366	456	546	636	
Deletions-1610_A05_s18.TIF	0	97	187	276	366	456	546	636	
Deletions-1610_A05_s19.TIF	0	97	187	276	366	456	546	636	
Deletions-1610_A05_s1.TIF	0	96	186	276	365	455	545	636	
Deletions-1610_A05_s20.TIF	0	97	187	276	366	456	546	636	
Deletions-1610_A05_s21.TIF	0	97	187	276	366	456	546	636	
Deletions-1610_A05_s22.TIF	0	97	187	276	366	456	546	636	
Deletions-1610_A05_s23.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A05_s24.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A05_s25.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A05_s26.TIF	0	96	186	275	365	455	545	635	
Deletions-1610_A05_s2.TIF	0	96	186	276	365	455	545	636	
Deletions-1610_A05_s3.TIF	0	96	186	276	365	456	545	636	
Deletions-1610_A05_s4.TIF	0	96	186	276	365	456	545	636	
Deletions-1610_A05_s5.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A05_s6.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A05_s7.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A05_s8.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A05_s9.TIF	0	96	187	276	365	456	546	636	
Deletions-1610_A06_s10.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s11.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s12.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A06_s13.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A06_s14.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A06_s15.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A06_s16.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A06_s17.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A06_s18.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A06_s19.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A06_s1.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s20.TIF	0	98	189	277	367	457	548	638	
Deletions-1610_A06_s21.TIF	0	98	189	277	367	457	548	638	
Deletions-1610_A06_s22.TIF	0	98	189	277	367	457	548	638	
Deletions-1610_A06_s23.TIF	0	99	189	278	367	457	548	638	
Deletions-1610_A06_s24.TIF	0	99	189	278	367	457	548	638	
Deletions-1610_A06_s25.TIF	0	99	189	278	367	457	548	638	
Deletions-1610_A06_s26.TIF	0	99	189	278	367	457	548	638	
Deletions-1610_A06_s2.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s3.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s4.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s5.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s6.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s7.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s8.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A06_s9.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A07_s10.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s11.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s12.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A07_s13.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A07_s14.TIF	0	98	188	277	366	457	547	637	
Deletions-1610_A07_s15.TIF	0	98	189	277	366	457	547	637	
Deletions-1610_A07_s16.TIF	0	98	189	277	366	457	547	638	
Deletions-1610_A07_s17.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A07_s18.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A07_s19.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A07_s1.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s20.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A07_s21.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A07_s22.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A07_s23.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A07_s24.TIF	0	98	189	277	367	457	547	638	
Deletions-1610_A07_s25.TIF	0	98	189	277	367	457	548	638	
Deletions-1610_A07_s26.TIF	0	98	189	278	367	457	548	638	
Deletions-1610_A07_s2.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s3.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s4.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s5.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s6.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s7.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s8.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A07_s9.TIF	0	99	189	278	367	458	548	638	
Deletions-1610_A08_s10.TIF	0	101	191	279	368	459	549	640	
Deletions-1610_A08_s11.TIF	0	101	191	279	368	459	549	640	
Deletions-1610_A08_s12.TIF	0	101	191	279	368	459	549	640	
Deletions-1610_A08_s13.TIF	0	101	191	279	368	459	549	640	
Deletions-1610_A08_s14.TIF	0	101	191	279	368	459	549	640	
Deletions-1610_A08_s15.TIF	0	101	191	279	368	459	549	640	
Deletions-1610_A08_s16.TIF	0	101	191	279	369	459	549	640	
Deletions-1610_A08_s17.TIF	0	101	191	279	369	459	549	640	
Deletions-1610_A08_s18.TIF	0	101	191	279	369	459	549	640	
Deletions-1610_A08_s19.TIF	0	101	191	280	369	459	549	640	
Deletions-1610_A08_s1.TIF	0	101	192	280	369	460	550	640	
Deletions-1610_A08_s20.TIF	0	101	191	280	369	459	550	640	
Deletions-1610_A08_s21.TIF	0	101	191	280	369	459	550	640	
